"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Dawson County, MT","30021","Male","M","45-49 years","45-49",Suppressed,1336,Suppressed,Suppressed,Suppressed
,"Dawson County, MT","30021","Male","M","50-54 years","50-54",13,1304,996.9,530.8,1704.8
,"Dawson County, MT","30021","Male","M","55-59 years","55-59",14,1337,1047.1,572.5,1756.9
,"Dawson County, MT","30021","Male","M","60-64 years ","60-64",23,1694,1357.7,860.7,2037.3
,"Dawson County, MT","30021","Male","M","65-69 years","65-69",38,1608,2363.2,1672.3,3243.7
,"Dawson County, MT","30021","Male","M","70-74 years","70-74",43,1211,3550.8,2569.7,4782.9
,"Dawson County, MT","30021","Male","M","75-79 years","75-79",40,754,5305.0,3790.0,7224.0
,"Dawson County, MT","30021","Male","M","80-84 years","80-84",47,498,9437.8,6934.5,12550.2
,"Dawson County, MT","30021","Male","M","85-89 years","85-89",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dawson County, MT","30021","Male","M","90-94 years","90-94",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dawson County, MT","30021","Male","M","95-99 years","95-99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dawson County, MT","30021","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dawson County, MT","30021","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Dawson County, MT","30021","Male","M",,,361,22850,1579.9,1416.9,1742.8
"Total","Dawson County, MT","30021",,,,,590,43830,1346.1,1237.5,1454.7
,"Deer Lodge County, MT","30023","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","5-9 years","5-9",0,764,0.0,0.0,0.0
,"Deer Lodge County, MT","30023","Female","F","10-14 years","10-14",0,814,0.0,0.0,0.0
,"Deer Lodge County, MT","30023","Female","F","15-19 years","15-19",Suppressed,935,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","20-24 years","20-24",Suppressed,912,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","25-29 years","25-29",Suppressed,1159,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","30-34 years","30-34",Suppressed,1344,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","35-39 years","35-39",Suppressed,1184,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","40-44 years","40-44",Suppressed,1303,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","45-49 years","45-49",Suppressed,1363,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","50-54 years","50-54",Suppressed,1559,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Female","F","55-59 years","55-59",11,1685,652.8,325.9,1168.1
,"Deer Lodge County, MT","30023","Female","F","60-64 years ","60-64",19,2184,870.0,523.8,1358.6
,"Deer Lodge County, MT","30023","Female","F","65-69 years","65-69",31,2091,1482.5,1007.3,2104.4
,"Deer Lodge County, MT","30023","Female","F","70-74 years","70-74",34,1755,1937.3,1341.7,2707.2
,"Deer Lodge County, MT","30023","Female","F","75-79 years","75-79",39,1100,3545.5,2521.2,4846.7
,"Deer Lodge County, MT","30023","Female","F","80-84 years","80-84",43,746,5764.1,4171.5,7764.2
,"Deer Lodge County, MT","30023","Female","F","85-89 years","85-89",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","90-94 years","90-94",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","95-99 years","95-99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Deer Lodge County, MT","30023","Female","F",,,292,22320,1308.2,1158.2,1458.3
,"Deer Lodge County, MT","30023","Male","M","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","5-9 years","5-9",0,712,0.0,0.0,0.0
,"Deer Lodge County, MT","30023","Male","M","10-14 years","10-14",Suppressed,762,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","15-19 years","15-19",Suppressed,1450,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","20-24 years","20-24",Suppressed,1604,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","25-29 years","25-29",Suppressed,1433,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","30-34 years","30-34",Suppressed,1672,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","35-39 years","35-39",Suppressed,1620,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","40-44 years","40-44",Suppressed,1598,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","45-49 years","45-49",Suppressed,1595,Suppressed,Suppressed,Suppressed
,"Deer Lodge County, MT","30023","Male","M","50-54 years","50-54",16,1754,912.2,521.4,1481.4
,"Deer Lodge County, MT","30023","Male","M","55-59 years","55-59",22,1843,1193.7,748.1,1807.3
,"Deer Lodge County, MT","30023","Male","M","60-64 years ","60-64",32,2139,1496.0,1023.3,2111.9
,"Deer Lodge County, MT","30023","Male","M","65-69 years","65-69",39,2137,1825.0,1297.7,2494.8
,"Deer Lodge County, MT","30023","Male","M","70-74 years","70-74",38,1954,1944.7,1376.2,2669.3
,"Deer Lodge County, MT","30023","Male","M","75-79 years","75-79",44,1201,3663.6,2662.0,4918.2
,"Deer Lodge County, MT","30023","Male","M","80-84 years","80-84",67,673,9955.4,7715.4,12643.0
,"Deer Lodge County, MT","30023","Male","M","85-89 years","85-89",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","90-94 years","90-94",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Deer Lodge County, MT","30023","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Deer Lodge County, MT","30023","Male","M",,,356,25369,1403.3,1257.5,1549.1
"Total","Deer Lodge County, MT","30023",,,,,648,47689,1358.8,1254.2,1463.4
,"Fallon County, MT","30025","Female","F","< 1 year","1",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","5-9 years","5-9",0,554,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","10-14 years","10-14",Suppressed,547,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","15-19 years","15-19",0,527,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","20-24 years","20-24",0,340,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","25-29 years","25-29",0,397,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","30-34 years","30-34",Suppressed,406,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","35-39 years","35-39",0,441,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","40-44 years","40-44",0,432,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","45-49 years","45-49",Suppressed,359,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","50-54 years","50-54",Suppressed,391,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","55-59 years","55-59",Suppressed,390,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","60-64 years ","60-64",0,542,0.0,0.0,0.0
,"Fallon County, MT","30025","Female","F","65-69 years","65-69",Suppressed,538,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","70-74 years","70-74",Suppressed,396,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","75-79 years","75-79",Suppressed,213,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Female","F","80-84 years","80-84",13,160,8125.0,4326.2,13894.0
,"Fallon County, MT","30025","Female","F","85-89 years","85-89",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","90-94 years","90-94",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","95-99 years","95-99",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Fallon County, MT","30025","Female","F",,,83,7269,1141.8,909.5,1415.5
,"Fallon County, MT","30025","Male","M","< 1 year","1",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","5-9 years","5-9",0,628,0.0,0.0,0.0
,"Fallon County, MT","30025","Male","M","10-14 years","10-14",Suppressed,594,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","15-19 years","15-19",Suppressed,458,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","20-24 years","20-24",0,392,0.0,0.0,0.0
,"Fallon County, MT","30025","Male","M","25-29 years","25-29",0,424,0.0,0.0,0.0
,"Fallon County, MT","30025","Male","M","30-34 years","30-34",0,481,0.0,0.0,0.0
,"Fallon County, MT","30025","Male","M","35-39 years","35-39",Suppressed,502,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","40-44 years","40-44",0,455,0.0,0.0,0.0
,"Fallon County, MT","30025","Male","M","45-49 years","45-49",Suppressed,419,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","50-54 years","50-54",Suppressed,423,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","55-59 years","55-59",Suppressed,422,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","60-64 years ","60-64",Suppressed,509,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","65-69 years","65-69",Suppressed,530,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","70-74 years","70-74",Suppressed,378,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","75-79 years","75-79",Suppressed,196,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","80-84 years","80-84",Suppressed,172,Suppressed,Suppressed,Suppressed
,"Fallon County, MT","30025","Male","M","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","100+ years","100+",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fallon County, MT","30025","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Fallon County, MT","30025","Male","M",,,70,7525,930.2,725.2,1175.3
"Total","Fallon County, MT","30025",,,,,153,14794,1034.2,870.3,1198.1
,"Fergus County, MT","30027","Female","F","< 1 year","1",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","5-9 years","5-9",0,1523,0.0,0.0,0.0
,"Fergus County, MT","30027","Female","F","10-14 years","10-14",0,1727,0.0,0.0,0.0
,"Fergus County, MT","30027","Female","F","15-19 years","15-19",0,1461,0.0,0.0,0.0
,"Fergus County, MT","30027","Female","F","20-24 years","20-24",Suppressed,1223,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","25-29 years","25-29",Suppressed,1510,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","30-34 years","30-34",0,1593,0.0,0.0,0.0
,"Fergus County, MT","30027","Female","F","35-39 years","35-39",Suppressed,1662,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","40-44 years","40-44",Suppressed,1872,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","45-49 years","45-49",Suppressed,1502,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","50-54 years","50-54",Suppressed,1522,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","55-59 years","55-59",Suppressed,1781,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Female","F","60-64 years ","60-64",15,2211,678.4,379.7,1119.0
,"Fergus County, MT","30027","Female","F","65-69 years","65-69",39,2274,1715.0,1219.6,2344.5
,"Fergus County, MT","30027","Female","F","70-74 years","70-74",37,1984,1864.9,1313.1,2570.5
,"Fergus County, MT","30027","Female","F","75-79 years","75-79",38,1339,2837.9,2008.3,3895.3
,"Fergus County, MT","30027","Female","F","80-84 years","80-84",67,919,7290.5,5650.1,9258.7
,"Fergus County, MT","30027","Female","F","85-89 years","85-89",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","90-94 years","90-94",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","95-99 years","95-99",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Fergus County, MT","30027","Female","F",,,379,28495,1330.1,1196.1,1464.0
,"Fergus County, MT","30027","Male","M","< 1 year","1",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","5-9 years","5-9",0,1845,0.0,0.0,0.0
,"Fergus County, MT","30027","Male","M","10-14 years","10-14",Suppressed,1815,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","15-19 years","15-19",Suppressed,1616,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","20-24 years","20-24",Suppressed,1316,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","25-29 years","25-29",Suppressed,1564,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","30-34 years","30-34",Suppressed,1845,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","35-39 years","35-39",Suppressed,1656,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","40-44 years","40-44",Suppressed,1811,Suppressed,Suppressed,Suppressed
,"Fergus County, MT","30027","Male","M","45-49 years","45-49",12,1555,771.7,398.7,1348.0
,"Fergus County, MT","30027","Male","M","50-54 years","50-54",11,1574,698.9,348.9,1250.4
,"Fergus County, MT","30027","Male","M","55-59 years","55-59",12,1826,657.2,339.6,1148.0
,"Fergus County, MT","30027","Male","M","60-64 years ","60-64",30,2304,1302.1,878.5,1858.8
,"Fergus County, MT","30027","Male","M","65-69 years","65-69",47,2203,2133.5,1567.6,2837.0
,"Fergus County, MT","30027","Male","M","70-74 years","70-74",51,2036,2504.9,1865.1,3293.5
,"Fergus County, MT","30027","Male","M","75-79 years","75-79",57,1496,3810.2,2885.8,4936.5
,"Fergus County, MT","30027","Male","M","80-84 years","80-84",72,888,8108.1,6344.1,10210.8
,"Fergus County, MT","30027","Male","M","85-89 years","85-89",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","90-94 years","90-94",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","95-99 years","95-99",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fergus County, MT","30027","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Fergus County, MT","30027","Male","M",,,448,29523,1517.5,1376.9,1658.0
"Total","Fergus County, MT","30027",,,,,827,58018,1425.4,1328.3,1522.6
,"Flathead County, MT","30029","Female","F","< 1 year","1",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","5-9 years","5-9",0,16244,0.0,0.0,0.0
,"Flathead County, MT","30029","Female","F","10-14 years","10-14",Suppressed,17001,Suppressed,Suppressed,Suppressed
,"Flathead County, MT","30029","Female","F","15-19 years","15-19",10,14589,68.5,32.9,126.1
,"Flathead County, MT","30029","Female","F","20-24 years","20-24",Suppressed,12990,Suppressed,Suppressed,Suppressed
,"Flathead County, MT","30029","Female","F","25-29 years","25-29",Suppressed,16101,Suppressed,Suppressed,Suppressed
,"Flathead County, MT","30029","Female","F","30-34 years","30-34",22,17928,122.7,76.9,185.8
,"Flathead County, MT","30029","Female","F","35-39 years","35-39",22,18119,121.4,76.1,183.8
,"Flathead County, MT","30029","Female","F","40-44 years","40-44",32,18318,174.7,119.5,246.6
,"Flathead County, MT","30029","Female","F","45-49 years","45-49",42,15942,263.5,189.9,356.1
,"Flathead County, MT","30029","Female","F","50-54 years","50-54",45,15840,284.1,207.2,380.1
,"Flathead County, MT","30029","Female","F","55-59 years","55-59",86,17479,492.0,393.6,607.6
,"Flathead County, MT","30029","Female","F","60-64 years ","60-64",157,21061,745.5,628.8,862.1
,"Flathead County, MT","30029","Female","F","65-69 years","65-69",220,21036,1045.8,907.6,1184.0
,"Flathead County, MT","30029","Female","F","70-74 years","70-74",261,16610,1571.3,1380.7,1762.0
,"Flathead County, MT","30029","Female","F","75-79 years","75-79",319,10676,2988.0,2660.1,3315.9
,"Flathead County, MT","30029","Female","F","80-84 years","80-84",376,6410,5865.8,5272.9,6458.7
,"Flathead County, MT","30029","Female","F","85-89 years","85-89",381,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","90-94 years","90-94",363,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","95-99 years","95-99",178,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","100+ years","100+",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Flathead County, MT","30029","Female","F",,,2596,276661,938.3,902.2,974.4
,"Flathead County, MT","30029","Male","M","< 1 year","1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","5-9 years","5-9",Suppressed,17250,Suppressed,Suppressed,Suppressed
,"Flathead County, MT","30029","Male","M","10-14 years","10-14",Suppressed,18019,Suppressed,Suppressed,Suppressed
,"Flathead County, MT","30029","Male","M","15-19 years","15-19",22,16797,131.0,82.1,198.3
,"Flathead County, MT","30029","Male","M","20-24 years","20-24",27,13925,193.9,127.8,282.1
,"Flathead County, MT","30029","Male","M","25-29 years","25-29",31,16466,188.3,127.9,267.2
,"Flathead County, MT","30029","Male","M","30-34 years","30-34",43,17838,241.1,174.5,324.7
,"Flathead County, MT","30029","Male","M","35-39 years","35-39",48,18243,263.1,194.0,348.9
,"Flathead County, MT","30029","Male","M","40-44 years","40-44",59,18609,317.1,241.4,409.0
,"Flathead County, MT","30029","Male","M","45-49 years","45-49",64,16694,383.4,295.2,489.6
,"Flathead County, MT","30029","Male","M","50-54 years","50-54",98,16536,592.6,481.1,722.2
,"Flathead County, MT","30029","Male","M","55-59 years","55-59",164,17069,960.8,813.8,1107.9
,"Flathead County, MT","30029","Male","M","60-64 years ","60-64",271,19230,1409.3,1241.5,1577.0
,"Flathead County, MT","30029","Male","M","65-69 years","65-69",299,19523,1531.5,1357.9,1705.1
,"Flathead County, MT","30029","Male","M","70-74 years","70-74",419,16246,2579.1,2332.1,2826.1
,"Flathead County, MT","30029","Male","M","75-79 years","75-79",417,10442,3993.5,3610.2,4376.8
,"Flathead County, MT","30029","Male","M","80-84 years","80-84",430,5772,7449.8,6745.6,8153.9
,"Flathead County, MT","30029","Male","M","85-89 years","85-89",392,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","90-94 years","90-94",245,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","95-99 years","95-99",81,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","100+ years","100+",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Flathead County, MT","30029","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Flathead County, MT","30029","Male","M",,,3145,277664,1132.7,1093.1,1172.3
"Total","Flathead County, MT","30029",,,,,5741,554325,1035.7,1008.9,1062.5
,"Gallatin County, MT","30031","Female","F","< 1 year","1",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","5-9 years","5-9",Suppressed,15912,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Female","F","10-14 years","10-14",Suppressed,16614,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Female","F","15-19 years","15-19",Suppressed,20721,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Female","F","20-24 years","20-24",Suppressed,33585,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Female","F","25-29 years","25-29",14,24660,56.8,31.0,95.3
,"Gallatin County, MT","30031","Female","F","30-34 years","30-34",10,22354,44.7,21.5,82.3
,"Gallatin County, MT","30031","Female","F","35-39 years","35-39",14,21280,65.8,36.0,110.4
,"Gallatin County, MT","30031","Female","F","40-44 years","40-44",20,20028,99.9,61.0,154.2
,"Gallatin County, MT","30031","Female","F","45-49 years","45-49",25,16758,149.2,96.5,220.2
,"Gallatin County, MT","30031","Female","F","50-54 years","50-54",39,14933,261.2,185.7,357.0
,"Gallatin County, MT","30031","Female","F","55-59 years","55-59",44,14339,306.9,223.0,411.9
,"Gallatin County, MT","30031","Female","F","60-64 years ","60-64",80,16086,497.3,394.4,619.0
,"Gallatin County, MT","30031","Female","F","65-69 years","65-69",94,15200,618.4,499.7,756.8
,"Gallatin County, MT","30031","Female","F","70-74 years","70-74",139,12207,1138.7,949.4,1328.0
,"Gallatin County, MT","30031","Female","F","75-79 years","75-79",160,7403,2161.3,1826.4,2496.2
,"Gallatin County, MT","30031","Female","F","80-84 years","80-84",216,4452,4851.8,4204.7,5498.8
,"Gallatin County, MT","30031","Female","F","85-89 years","85-89",228,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","90-94 years","90-94",278,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","95-99 years","95-99",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","100+ years","100+",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Gallatin County, MT","30031","Female","F",,,1556,295288,526.9,500.8,553.1
,"Gallatin County, MT","30031","Male","M","< 1 year","1",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","5-9 years","5-9",Suppressed,16768,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Male","M","10-14 years","10-14",Suppressed,17277,Suppressed,Suppressed,Suppressed
,"Gallatin County, MT","30031","Male","M","15-19 years","15-19",15,22648,66.2,37.1,109.2
,"Gallatin County, MT","30031","Male","M","20-24 years","20-24",22,41115,53.5,33.5,81.0
,"Gallatin County, MT","30031","Male","M","25-29 years","25-29",33,31053,106.3,73.2,149.2
,"Gallatin County, MT","30031","Male","M","30-34 years","30-34",32,25251,126.7,86.7,178.9
,"Gallatin County, MT","30031","Male","M","35-39 years","35-39",43,23402,183.7,133.0,247.5
,"Gallatin County, MT","30031","Male","M","40-44 years","40-44",40,22522,177.6,126.9,241.8
,"Gallatin County, MT","30031","Male","M","45-49 years","45-49",39,18681,208.8,148.5,285.4
,"Gallatin County, MT","30031","Male","M","50-54 years","50-54",57,16446,346.6,262.5,449.0
,"Gallatin County, MT","30031","Male","M","55-59 years","55-59",86,15244,564.2,451.3,696.7
,"Gallatin County, MT","30031","Male","M","60-64 years ","60-64",112,16066,697.1,568.0,826.2
,"Gallatin County, MT","30031","Male","M","65-69 years","65-69",172,14899,1154.4,981.9,1327.0
,"Gallatin County, MT","30031","Male","M","70-74 years","70-74",183,11889,1539.2,1316.2,1762.3
,"Gallatin County, MT","30031","Male","M","75-79 years","75-79",231,7441,3104.4,2704.1,3504.8
,"Gallatin County, MT","30031","Male","M","80-84 years","80-84",249,3858,6454.1,5652.5,7255.8
,"Gallatin County, MT","30031","Male","M","85-89 years","85-89",239,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","90-94 years","90-94",175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","95-99 years","95-99",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Gallatin County, MT","30031","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Gallatin County, MT","30031","Male","M",,,1825,322481,565.9,540.0,591.9
"Total","Gallatin County, MT","30031",,,,,3381,617769,547.3,528.8,565.7
,"Garfield County, MT","30033","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
