"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Big Horn County, MT","30003","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","5-9 years","5-9",Suppressed,2691,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","10-14 years","10-14",Suppressed,2941,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","15-19 years","15-19",Suppressed,2769,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","20-24 years","20-24",Suppressed,1955,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","25-29 years","25-29",Suppressed,1859,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","30-34 years","30-34",11,2096,524.8,262.0,939.0
,"Big Horn County, MT","30003","Female","F","35-39 years","35-39",Suppressed,1902,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Female","F","40-44 years","40-44",13,1820,714.3,380.3,1221.5
,"Big Horn County, MT","30003","Female","F","45-49 years","45-49",12,1687,711.3,367.5,1242.5
,"Big Horn County, MT","30003","Female","F","50-54 years","50-54",22,1798,1223.6,766.8,1852.5
,"Big Horn County, MT","30003","Female","F","55-59 years","55-59",26,1879,1383.7,903.9,2027.5
,"Big Horn County, MT","30003","Female","F","60-64 years ","60-64",26,1936,1343.0,877.3,1967.8
,"Big Horn County, MT","30003","Female","F","65-69 years","65-69",30,1652,1816.0,1225.2,2592.4
,"Big Horn County, MT","30003","Female","F","70-74 years","70-74",31,1331,2329.1,1582.5,3305.9
,"Big Horn County, MT","30003","Female","F","75-79 years","75-79",33,907,3638.4,2504.5,5109.6
,"Big Horn County, MT","30003","Female","F","80-84 years","80-84",31,534,5805.2,3944.4,8240.1
,"Big Horn County, MT","30003","Female","F","85-89 years","85-89",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","90-94 years","90-94",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Big Horn County, MT","30003","Female","F",,,321,32537,986.6,878.6,1094.5
,"Big Horn County, MT","30003","Male","M","< 1 year","1",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","5-9 years","5-9",Suppressed,3064,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Male","M","10-14 years","10-14",Suppressed,3406,Suppressed,Suppressed,Suppressed
,"Big Horn County, MT","30003","Male","M","15-19 years","15-19",10,2943,339.8,162.9,624.9
,"Big Horn County, MT","30003","Male","M","20-24 years","20-24",11,1990,552.8,275.9,989.0
,"Big Horn County, MT","30003","Male","M","25-29 years","25-29",16,1750,914.3,522.6,1484.7
,"Big Horn County, MT","30003","Male","M","30-34 years","30-34",25,1930,1295.3,838.3,1912.2
,"Big Horn County, MT","30003","Male","M","35-39 years","35-39",21,1816,1156.4,715.8,1767.7
,"Big Horn County, MT","30003","Male","M","40-44 years","40-44",16,1719,930.8,532.0,1511.5
,"Big Horn County, MT","30003","Male","M","45-49 years","45-49",24,1447,1658.6,1062.7,2467.9
,"Big Horn County, MT","30003","Male","M","50-54 years","50-54",23,1465,1570.0,995.2,2355.7
,"Big Horn County, MT","30003","Male","M","55-59 years","55-59",37,1798,2057.8,1448.9,2836.5
,"Big Horn County, MT","30003","Male","M","60-64 years ","60-64",41,1747,2346.9,1684.2,3183.8
,"Big Horn County, MT","30003","Male","M","65-69 years","65-69",37,1560,2371.8,1670.0,3269.2
,"Big Horn County, MT","30003","Male","M","70-74 years","70-74",48,1242,3864.7,2849.5,5124.1
,"Big Horn County, MT","30003","Male","M","75-79 years","75-79",42,715,5874.1,4233.5,7940.1
,"Big Horn County, MT","30003","Male","M","80-84 years","80-84",47,422,11137.4,8183.3,14810.5
,"Big Horn County, MT","30003","Male","M","85-89 years","85-89",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","90-94 years","90-94",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Big Horn County, MT","30003","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Big Horn County, MT","30003","Male","M",,,463,31881,1452.3,1320.0,1584.6
"Total","Big Horn County, MT","30003",,,,,784,64418,1217.1,1131.9,1302.2
